Date,Open,High,Low,Close,Adj Close,Volume
2022-07-12,31113.31,31346.1,30860.51,30981.33,30981.33,325910000
2022-07-13,30743.63,30979.17,30514.61,30772.79,30772.79,293830000
2022-07-14,30451.8,30680.12,30143.93,30630.17,30630.17,327450000
2022-07-15,30775.37,31288.26,30775.37,31288.26,31288.26,337390000
2022-07-18,31475.98,31644.68,30982.97,31072.61,31072.61,309960000
2022-07-19,31165.91,31842.25,31165.91,31827.05,31827.05,379950000
2022-07-20,31829.99,31944.45,31646.95,31874.84,31874.84,319140000
2022-07-21,31826.49,32040.63,31534.08,32036.9,32036.9,304090000
2022-07-22,32167.92,32219.25,31731.47,31899.29,31899.29,320970000
2022-07-25,31950.93,32029.03,31821.67,31990.04,31990.04,264610000
2022-07-26,31950.04,31950.04,31705.36,31761.54,31761.54,330700000
2022-07-27,31865.05,32336.23,31799.43,32197.59,32197.59,367620000
2022-07-28,32197.62,32609.54,31982.61,32529.63,32529.63,350630000
2022-07-29,32515.62,32910.18,32493.02,32845.13,32845.13,490270000
2022-08-01,32755.71,32972.03,32640.79,32798.4,32798.4,325500000
2022-08-02,32691.29,32772.93,32387.12,32396.17,32396.17,320390000
2022-08-03,32514.21,32912.74,32514.21,32812.5,32812.5,344300000
2022-08-04,32805.69,32829.22,32652.63,32726.82,32726.82,318770000
2022-08-05,32593.9,32814.61,32489.62,32803.47,32803.47,276170000
2022-08-08,32877.36,33109.96,32769.1,32832.54,32832.54,279110000
2022-08-09,32807.36,32877.53,32702.66,32774.41,32774.41,283450000
2022-08-10,33130.63,33364.41,33130.63,33309.51,33309.51,317910000
2022-08-11,33451.51,33651.8,33289.83,33336.67,33336.67,309720000
2022-08-12,33430.72,33767.09,33398.32,33761.05,33761.05,299140000
2022-08-15,33710.7,33954.71,33582.96,33912.44,33912.44,263720000
2022-08-16,33924.35,34281.36,33852.57,34152.01,34152.01,291750000
2022-08-17,34029.55,34161.01,33828.41,33980.32,33980.32,285730000
2022-08-18,33981.86,34043.83,33844.46,33999.04,33999.04,284140000
2022-08-19,33904.69,33904.69,33627.09,33706.74,33706.74,298430000
2022-08-22,33586.59,33586.59,33007.63,33063.61,33063.61,308900000
2022-08-23,33033.52,33138.26,32858.89,32909.59,32909.59,254460000
2022-08-24,32899.01,33095.5,32828.56,32969.23,32969.23,258940000
2022-08-25,33029.27,33306.09,32889.85,33291.78,33291.78,308530000
2022-08-26,33293.43,33364.7,32278.22,32283.4,32283.4,352850000
2022-08-29,32188.0,32325.16,31972.79,32098.99,32098.99,320090000
2022-08-30,32163.84,32205.66,31647.22,31790.87,31790.87,328640000
2022-08-31,31827.15,31966.04,31509.59,31510.43,31510.43,392780000
2022-09-01,31454.58,31677.51,31219.75,31656.42,31656.42,339360000
2022-09-02,31848.5,32026.9,31182.09,31318.44,31318.44,306180000
2022-09-06,31343.79,31463.89,31048.46,31145.3,31145.3,348980000
2022-09-07,31145.63,31644.34,31095.21,31581.28,31581.28,355100000
2022-09-08,31481.95,31783.37,31321.5,31774.52,31774.52,344340000
2022-09-09,31876.22,32227.74,31876.22,32151.71,32151.71,312400000
2022-09-12,32159.49,32504.04,32159.49,32381.34,32381.34,343960000
2022-09-13,32006.5,32006.5,31018.54,31104.97,31104.97,433800000
2022-09-14,31141.02,31276.82,30885.02,31135.09,31135.09,353880000
2022-09-15,31124.68,31277.69,30882.08,30961.82,30961.82,349090000
2022-09-16,30866.61,30866.61,30550.08,30822.42,30822.42,627920000
2022-09-19,30722.86,31026.89,30559.37,31019.68,31019.68,296570000
2022-09-20,30888.53,30888.53,30465.91,30706.23,30706.23,320690000
2022-09-21,30819.39,31020.79,30181.99,30183.78,30183.78,354960000
2022-09-22,30204.52,30302.28,29994.53,30076.68,30076.68,335270000
2022-09-23,29955.65,29955.65,29250.47,29590.41,29590.41,389450000
2022-09-26,29536.84,29630.77,29161.12,29260.81,29260.81,374490000
2022-09-27,29419.88,29659.12,28958.22,29134.99,29134.99,356590000
2022-09-28,29198.92,29811.78,29114.97,29683.74,29683.74,439140000
2022-09-29,29513.73,29513.73,28997.34,29225.61,29225.61,392420000
2022-09-30,29123.03,29355.78,28715.85,28725.51,28725.51,466860000
2022-10-03,28855.25,29647.79,28855.25,29490.89,29490.89,397830000
2022-10-04,29826.67,30325.05,29826.67,30316.32,30316.32,379030000
2022-10-05,30078.36,30454.46,29886.44,30273.87,30273.87,292040000
2022-10-06,30206.13,30329.61,29859.34,29926.94,29926.94,308950000
2022-10-07,29685.27,29685.27,29142.66,29296.79,29296.79,370380000
2022-10-10,29419.09,29485.82,29010.41,29202.88,29202.88,318470000
2022-10-11,29085.2,29608.42,29074.23,29239.19,29239.19,358470000
2022-10-12,29233.06,29455.12,29136.03,29210.85,29210.85,306530000
2022-10-13,28755.83,30168.54,28660.94,30038.72,30038.72,472670000
2022-10-14,30192.21,30428.82,29614.3,29634.83,29634.83,380980000
